external_urls,followers,genres,href,raw_artist_uri,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk'},2336505,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",https://api.spotify.com/v1/artists/2wIVse2owClT7go1WT98tk,2wIVse2owClT7go1WT98tk,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf6691f40d906f097e9fbaa4c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f6691f40d906f097e9fbaa4c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f6691f40d906f097e9fbaa4c', 'width': 160}]",Missy Elliott,69,artist,spotify:artist:2wIVse2owClT7go1WT98tk
{'spotify': 'https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4'},13212370,"['dance pop', 'pop']",https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,26dSoYclwsYLMAKD3tpOr4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3a49b0a3954e460a8a76ed90', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743a49b0a3954e460a8a76ed90', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783a49b0a3954e460a8a76ed90', 'width': 160}]",Britney Spears,78,artist,spotify:artist:26dSoYclwsYLMAKD3tpOr4
{'spotify': 'https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m'},36323248,"['pop', 'r&b']",https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517412e3f20d05a8d6cfde988715', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17812e3f20d05a8d6cfde988715', 'width': 160}]",Beyoncé,82,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m
{'spotify': 'https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7'},13443728,"['dance pop', 'pop']",https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,31TPClRtHm23RisEBtV3X7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9d3f9efc8e0030306e583cef', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749d3f9efc8e0030306e583cef', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789d3f9efc8e0030306e583cef', 'width': 160}]",Justin Timberlake,78,artist,spotify:artist:31TPClRtHm23RisEBtV3X7
{'spotify': 'https://open.spotify.com/artist/5EvFsr3kj42KNv97ZEnqij'},2069888,"['pop rap', 'reggae fusion']",https://api.spotify.com/v1/artists/5EvFsr3kj42KNv97ZEnqij,5EvFsr3kj42KNv97ZEnqij,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb356dc7e9ba8792cb86a0c50c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174356dc7e9ba8792cb86a0c50c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178356dc7e9ba8792cb86a0c50c', 'width': 160}]",Shaggy,69,artist,spotify:artist:5EvFsr3kj42KNv97ZEnqij
{'spotify': 'https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj'},10824942,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj,23zg3TcAtWQy7J6upgbUnj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb84813d8e6a3154717e618140', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517484813d8e6a3154717e618140', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17884813d8e6a3154717e618140', 'width': 160}]",USHER,77,artist,spotify:artist:23zg3TcAtWQy7J6upgbUnj
{'spotify': 'https://open.spotify.com/artist/6wPhSqRtPu1UhRCDX5yaDJ'},5538186,"['dance pop', 'girl group', 'pop']",https://api.spotify.com/v1/artists/6wPhSqRtPu1UhRCDX5yaDJ,6wPhSqRtPu1UhRCDX5yaDJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb292575f7d081016e04dff9ee', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174292575f7d081016e04dff9ee', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178292575f7d081016e04dff9ee', 'width': 160}]",The Pussycat Dolls,66,artist,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ
{'spotify': 'https://open.spotify.com/artist/1Y8cdNmUJH7yBTd9yOvr5i'},6801797,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/1Y8cdNmUJH7yBTd9yOvr5i,1Y8cdNmUJH7yBTd9yOvr5i,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf75e64532704bd6acf0b4e76', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f75e64532704bd6acf0b4e76', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f75e64532704bd6acf0b4e76', 'width': 160}]",Destiny's Child,68,artist,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i
{'spotify': 'https://open.spotify.com/artist/1G9G7WwrXka3Z1r7aIDjI7'},2408613,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",https://api.spotify.com/v1/artists/1G9G7WwrXka3Z1r7aIDjI7,1G9G7WwrXka3Z1r7aIDjI7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0cb3f95b9f8f7337e135a925', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740cb3f95b9f8f7337e135a925', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780cb3f95b9f8f7337e135a925', 'width': 160}]",Outkast,72,artist,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7
{'spotify': 'https://open.spotify.com/artist/2jw70GZXlAI8QzWeY2bgRc'},3626743,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",https://api.spotify.com/v1/artists/2jw70GZXlAI8QzWeY2bgRc,2jw70GZXlAI8QzWeY2bgRc,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4cf746b3348b3b0111056c11', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744cf746b3348b3b0111056c11', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784cf746b3348b3b0111056c11', 'width': 160}]",Nelly Furtado,74,artist,spotify:artist:2jw70GZXlAI8QzWeY2bgRc
