,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,raw_track_uri,uri,track_href,analysis_url,duration_ms,time_signature
0,0.758,0.402,9,-5.066,1,0.0459,0.411,0.0,0.217,0.519,92.109,audio_features,6yEfq48XkEzCg0TwY6Hhkb,spotify:track:6yEfq48XkEzCg0TwY6Hhkb,https://api.spotify.com/v1/tracks/6yEfq48XkEzCg0TwY6Hhkb,https://api.spotify.com/v1/audio-analysis/6yEfq48XkEzCg0TwY6Hhkb,189154,4
1,0.756,0.922,1,-2.683,1,0.0539,0.0615,0.000462,0.0723,0.809,100.005,audio_features,1ZgfAxHQCXLt8o1VXEHHAt,spotify:track:1ZgfAxHQCXLt8o1VXEHHAt,https://api.spotify.com/v1/tracks/1ZgfAxHQCXLt8o1VXEHHAt,https://api.spotify.com/v1/audio-analysis/1ZgfAxHQCXLt8o1VXEHHAt,206773,4
2,0.694,0.748,10,-2.93,0,0.167,0.0222,0.0,0.155,0.521,92.918,audio_features,4b1sQpvL7QVgamRZ74F1oA,spotify:track:4b1sQpvL7QVgamRZ74F1oA,https://api.spotify.com/v1/tracks/4b1sQpvL7QVgamRZ74F1oA,https://api.spotify.com/v1/audio-analysis/4b1sQpvL7QVgamRZ74F1oA,208667,4
3,0.538,0.436,3,-8.73,0,0.0504,0.726,0.0,0.151,0.37,87.111,audio_features,0AO2yQNGcH0ASHHU5lS4lT,spotify:track:0AO2yQNGcH0ASHHU5lS4lT,https://api.spotify.com/v1/tracks/0AO2yQNGcH0ASHHU5lS4lT,https://api.spotify.com/v1/audio-analysis/0AO2yQNGcH0ASHHU5lS4lT,229350,4
4,0.738,0.676,11,-3.025,0,0.0507,0.446,0.0,0.253,0.961,95.04,audio_features,0g1AmSKokPboFrxmG1dxKx,spotify:track:0g1AmSKokPboFrxmG1dxKx,https://api.spotify.com/v1/tracks/0g1AmSKokPboFrxmG1dxKx,https://api.spotify.com/v1/audio-analysis/0g1AmSKokPboFrxmG1dxKx,211375,4
5,0.715,0.831,2,-6.161,1,0.0729,0.223,3.84e-06,0.132,0.805,100.006,audio_features,5S5gGOsUarzRXKoaSstwba,spotify:track:5S5gGOsUarzRXKoaSstwba,https://api.spotify.com/v1/tracks/5S5gGOsUarzRXKoaSstwba,https://api.spotify.com/v1/audio-analysis/5S5gGOsUarzRXKoaSstwba,223642,4
6,0.536,0.707,10,-7.086,0,0.1,0.158,0.0,0.211,0.684,77.074,audio_features,4z8xFgX0Xq1T9xXomoDLJ2,spotify:track:4z8xFgX0Xq1T9xXomoDLJ2,https://api.spotify.com/v1/tracks/4z8xFgX0Xq1T9xXomoDLJ2,https://api.spotify.com/v1/audio-analysis/4z8xFgX0Xq1T9xXomoDLJ2,236919,4
7,0.662,0.716,4,-4.942,1,0.118,0.12,0.0,0.396,0.727,102.1,audio_features,4Y6Voc2xpc4lPD5iKpN4o2,spotify:track:4Y6Voc2xpc4lPD5iKpN4o2,https://api.spotify.com/v1/tracks/4Y6Voc2xpc4lPD5iKpN4o2,https://api.spotify.com/v1/audio-analysis/4Y6Voc2xpc4lPD5iKpN4o2,219488,4
8,0.817,0.747,1,-3.047,1,0.0625,0.043,0.0,0.0601,0.618,103.026,audio_features,2fRojxstKd6Tz9VziOeo9n,spotify:track:2fRojxstKd6Tz9VziOeo9n,https://api.spotify.com/v1/tracks/2fRojxstKd6Tz9VziOeo9n,https://api.spotify.com/v1/audio-analysis/2fRojxstKd6Tz9VziOeo9n,200170,4
9,0.497,0.431,5,-4.755,0,0.0287,0.66,0.0,0.153,0.167,133.675,audio_features,2BPXILn0MqOe5WroVXlvN1,spotify:track:2BPXILn0MqOe5WroVXlvN1,https://api.spotify.com/v1/tracks/2BPXILn0MqOe5WroVXlvN1,https://api.spotify.com/v1/audio-analysis/2BPXILn0MqOe5WroVXlvN1,229678,4
