_key,name,Pivot Field Values,followers,popularity
74ASZWbe4lXaubB36ztrGX,Bob Dylan,Indie/Alternative Vibes,6311103,68
74ASZWbe4lXaubB36ztrGX,Bob Dylan,Rock Classics,6311103,68
7emRV8AluG3d4e5T0DZiK9,Loggins & Messina,Indie/Alternative Vibes,478243,48
7emRV8AluG3d4e5T0DZiK9,Loggins & Messina,Chillout & Relaxation,478243,48
7emRV8AluG3d4e5T0DZiK9,Loggins & Messina,Rock Classics,478243,48
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,Indie/Alternative Vibes,5278514,76
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,Hip-Hop & Rap Essentials,5278514,76
3nFkdlSjzX9mRTtwJOzDYB,JAY Z,Global Sounds,8746024,81
3nFkdlSjzX9mRTtwJOzDYB,JAY Z,Hip-Hop & Rap Essentials,8746024,81
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,Indie/Alternative Vibes,11139225,71
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,Global Sounds,11139225,71
238y1dKPtMeFEpX3Y6H1Vr,Parra for Cuva,Indie/Alternative Vibes,175065,55
238y1dKPtMeFEpX3Y6H1Vr,Parra for Cuva,Global Sounds,175065,55
238y1dKPtMeFEpX3Y6H1Vr,Parra for Cuva,Chillout & Relaxation,175065,55
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,Electronic/Dance Beats,7349986,74
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,Chillout & Relaxation,7349986,74
7okwEbXzyT2VffBmyQBWLz,Maná,Indie/Alternative Vibes,10450645,76
7okwEbXzyT2VffBmyQBWLz,Maná,Global Sounds,10450645,76
2EExdpjU4SK3xnJHO5paJf,Henry Mancini,Chillout & Relaxation,188679,53
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,Chillout & Relaxation,6690226,76
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,Global Sounds,8900806,76
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,Rock Classics,8900806,76
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,Indie/Alternative Vibes,5554353,74
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,Chillout & Relaxation,5554353,74
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,Rock Classics,5554353,74
69MEO1AADKg1IZrq2XLzo5,UB40,Global Sounds,2274381,65
2VIoWte1HPDbZ2WqHd2La7,The Turtles,Indie/Alternative Vibes,581412,56
2VIoWte1HPDbZ2WqHd2La7,The Turtles,Chillout & Relaxation,581412,56
